"6","Viktor","+79176543728","Строитель","76000.0"
"7","Boris","89764345611","Слесарь","45000.0"
"21","Aleksey","+78949349322","Строитель","63000.0"
"2","Oleg","+79843748324","Строитель","60777.0"
"35","aaa","84393943312","xsass","10000.0"
"9","Nikita","89525143728","Сварщик","78000.0"
"b1eb8962-5ad4-43a7-ab69-35c4f5be0c87","cdsbc","894839283911","xsx","333232.0"
"c5571b96-ce3c-44e0-b76a-83692e36f9a8","isisi","89384728391","xsxaasaq","83838.0"
"5c030fce-5a82-470c-bf1c-f1e3abbcded1","ooow","89382903922","ppqpq","26090.0"
"63e59dfc-e334-4fe7-866a-c5a009e5b7f8","pwnc","89384194371","soppox","83922.0"
"adc3b022-be8f-49d2-9450-6ab998f1c725","oeiwoidj","84928391031","xsaxx21","21000.0"
"4","Vasya","+79871647302","Каменщик","62000.0"
"10","Aleksey","89764324565","Строитель","62000.0"
"11","Vova","89187456732","Строитель","63000.0"
"5","Denis","+7986574932","Строитель","67000.0"
"34","xsa","84393948212","xsa","31333.0"
"e7722090-e2b6-4ce1-97dc-412c43505a9e","xsaxxxs","893746273821","xsaxsa","32767.0"
