"6","Viktor","+79176543728","Строитель","76000.0"
"7","Boris","89764345611","Слесарь","45000.0"
"21","Aleksey","+78949349322","Строитель","63000.0"
"2","Oleg","+79843748324","Строитель","60777.0"
"35","aaa","84393943312","xsass","10000.0"
"9","Nikita","89525143728","Сварщик","78000.0"
"4cbead62-3209-4c55-a871-2a908a12b492","cdsbc","894839283911","xsx","333232.0"
"0df4c33f-6eb9-4ce0-a407-35f7cb34149a","isisi","89384728391","xsxaasaq","83838.0"
"d78b4d90-ebb6-4a40-8efd-40b077bfc5d3","ooow","89382903922","ppqpq","26090.0"
"7f07db5c-589e-4ef4-8f49-f237c776583f","pwnc","89384194371","soppox","83922.0"
"7c7f75d9-3937-433e-a45c-a34ea6c45ef9","oeiwoidj","84928391031","xsaxx21","21000.0"
"4","Vasya","+79871647302","Каменщик","62000.0"
"10","Aleksey","89764324565","Строитель","62000.0"
"11","Vova","89187456732","Строитель","63000.0"
"5","Denis","+7986574932","Строитель","67000.0"
"34","xsa","84393948212","xsa","31333.0"
"4db34beb-4c63-4221-b975-2a6b7307a8b5","xsaxxxs","893746273821","xsaxsa","32767.0"
